warehouse,item,description,quantity,catalog_id
934,מקרר,,2,
934,רדיאטורים (7 צלעות),,95,
934,דגלי ישראל עם מוט,,30,
934,מסיר אבן,,2,
934,סולו (נוזל חלונות),,12,
934,שמפו רצפה,,3,
934,לאבו קליר (מנקה אסלות),,34,
934,אלונקות,,9,
934,שקיות אשפה שקופות,,8*60,
934,אריחים,,40,
934,מגבות נייר,,4 חבילות,
934,דטרגנט,,3 מיכלים,
934,סולם,,1,
934,דליים,,7,
934,חלונות,,7,
934,מראות,,9,
משרד,כפפות,,6 חבילות,
משרד,וסט סכנה צהוב,,1,
משרד,אקדח סיכות,,2,
משרד,מסיר עובש,,1,
משרד,פוסטרי בטיחות,,10,
משרד,מזוזות,,29,
משרד,שלט אין מעבר עם שרשרת,,1,
משרד,מדבקות ארון חשמל,,3,
משרד,מדבקות עמדת כיבוי אש,,30,
משרד,מדבקות גלילונים לכיבוי אש,,40,
משרד,מדבקות 2222,,60,
משרד,לוחיות חיוג במקרה חירום,,16,
משרד,מדבקות עזרה ראשונה,,3,
משרד,לוחיות 'מעונות קנדה',,30,
משרד,לוחיות מספרים,,מינ' 4 מקס 27,
משרד,מדבקות מטפה אש,,80,
משרד,סט טלפון,,1,
משרד,נגן CD,,1,
משרד,foamclene,,1,
משרד,סרט תריס אפור 50 מ',,3,
משרד,כבל ברזל ותופסנים,,הרבה,
משרד,מנקב עור,,1,
משרד,מסורי ג'יגסו לעץ,,10,
משרד,ידיות עם ציר,,9,
משרד,שרוולי כוסות (פלסטיק),,2,
משרד,שרוולי כוסות (נייר),,1,
משרד,מכלולי מנעול עמוקים,,5,
משרד,פלטרי ברז,,2,
משרד,מכסי קיר,,15,
משרד,ראש דוש,,1,
משרד,ליינר גומי,,20 מ' בערך,
משרד,דגלי ישראל,,12,
משרד,קסדת פלסטיק,,1,
משרד,מבשם אוויר,,1,
משרד,חלוקים,,8,
משרד,צילינדרים,,40,
משרד,צירי ארון לבנים,,4,
משרד,צירי ארון כרום,,8,
משרד,סליידרים לארונות,,8,
משרד,אקדח סלוטייפ,,1,
משרד,טפלון,,3,
משרד,איזולירבנד,,6,
משרד,גלגלים עם מעצור,,2,
משרד,פטיש 3 קילו,,1,
משרד,פטיש גרם,,2,
משרד,פנס הצפה,,1,
משרד,כליבות ענק,,2,
משרד,סטי שקעים,,5,
משרד,מטליות אינטרקטיביות,,4,
משרד,כפפות ריתוך,,4,
משרד,כפפות גינון,,6,
משרד,כפפות חום,,4,
משרד,מצלמה אלחוטית,,1,
משרד,רשתות זבובים לחלונות,,3,
משרד,מקדחה חוטית,,1,
משרד,מקדחה אלחוטית,,1,
משרד,תיק כלים,,2,
משרד,לוחיות מספר דירה,,,
931,מקרר,,2,
931,ממירים לטלויזיה,,30,
931,מאוורר,,1,
931,דגל ישראל עם מוט,,1,
931,מזרן,,1,
931,שולחן מחדר (בלי מגירות),,1,
931,מיקרו,,1,
931,תריסים,,10,
931,מגבים/מוטות מגב,,17,
931,כסא פלסטיק,,2,
932,חלון יתושים,,1,
932,"שולחן מחדר (עם מגירות, בלי רגליים)",,2,
932,רגליים למיטות,,3,
932,רגליים לשולחנות,,5,
932,כורסאות,,7,
932,ממירים לטלויזיה,,20,
932,אסלה,,1,
932,כיור,,2,
932,אריחים,,100,
932,מראות,,2,
932,אלונקה,,1,
932,קרשי מיטה,,2 רצועות,
932,ספה,,1,
932,מיני מקרר,,1,
932,סרט דבק לדרייוול,,1,
932,מטאטא,,1,
932,יעה,,1,
932,לוח מיטה,,2,
933,מזרן,,3,
933,רגליים למיטות,,3,
933,ממירים לטלויזיה,,30,
933,מראות,,7,
933,אריחי תקרה,,22,
933,סולם,,3,
933,כסא עץ,,1,
933,כסא פלסטיק,,1,
933,רגליים למטה,,1,
933,ארונות צד,,18,
933,אריחים,,100,
935,מיטת עץ עם אכסון,,1,
935,ממירים לטלויזיה,,24,
935,מקרר,,1,
935,מראות צרות,,6,
935,מראות רחבות,,7,
935,את חפירה,,2,
935,מגב,,1,
935,גליל בועיות אריזה,,1,
935,מטאטא רחוב,,1,
935,פוליסיד (דלי 18 ליטר),,31,
935,לוחיות אקריליק,,25,
935,סי צ'אנלים,,20,
935,משולשי תמיכה,,40,
935,צילינדרים,,150+,
935,rakoll express 25 d,,1,
חדר תקשורת 35 (בניין 935.5),מזרנים,,6,
חדר תקשורת 35 (בניין 935.5),מסגרות מתכת למיטות,,6,
חדר תקשורת 35 (בניין 935.5),שולחנות לבנים,,2,
חדר תקשורת 35 (בניין 935.5),רגליים לשולחנות,,4,
חדר תקשורת 35 (בניין 935.5),סולם 5 מטר,,2,
חדר תקשורת 35 (בניין 935.5),ממירים לטלויזיה,,13,
חדר תקשורת 35 (בניין 935.5),לוח מיטה,,7,
חדר תקשורת 35 (בניין 935.5),שואב אבק (ותוספות),,1,
חדר תקשורת 35 (בניין 935.5),לוחות פייברגלס לתקרה,,4 ארגזים,
חדר תקשורת 35 (בניין 935.5),לוחות זכוכית,,5,
חדר תקשורת 35 (בניין 935.5),דגלי ישראל,,30,
חדר תקשורת 35 (בניין 935.5),ראש צינור לכיבוי אש,,1,
חדר תקשורת 35 (בניין 935.5),דלי,,1,
937,רגליים לשולחנות,,10,
937,מכלולי מגירות לשולחנות,,12,
937,ארגזי צד לבנים,,43,
937,שולחן עץ נפרס,,1,
937,מכלול מדפים,,1,
937,מגירות לבנות,,3,
937,ממירים לטלויזיה,,30,
937,מסך crt קטן,,1,
937,"שקעים (חשמל,טלפון, ועוד)",,60+,
937,גליל צינור כיבוי אש,,4,
937,קסדת עבודה צהובה,,1,
937,לאבו קליר,,1,
937,מראות צרות,,21,
937,מראות רחבות,,4,
937,מכלול ללא מגירות,,1,
937,לוחות מיטה,,5,
937,לוחות שהם/בד לנעצים,,28,
937,אריחים,,50+,
937,ארונות לבנים לא מורכבים,,3,
937,מכלולי פלורוסנט עם נורות,,3,
937,מדפי מתכת לתלייה,,8,
941,מזרנים,,2,
941,כורסאות אפורות,,2,
941,אלונקה,,1,
941,שואב אבק,,1,
941,רדיאטורים (7 צלעות),,2,
941,מעדר,,2,
941,שולחן 90 מעלות מפורק,,1,
941,כסא כחול מרופד,,1,
941,כסא עץ רגיל,,1,
941,אריחים,,70,
941,ארונות אמבטיה,,6,
942,מזרנים,,5,
942,סולם 3 מטר,,1,
942,לוחות עץ בגדלים שונים,,,
942,פח קטן עם מאפרה מובנית,,1,
942,אלונקה,,3,
942,פח קטן,,1,
942,יעה,,1,
942,רדיאטורים (7 צלעות),,12,
942,כסא פלסטיק לבן,,1,
942,כסא פלסטיק כחול,,1,
942,ראשים לפומפות,,4,
942,מגפי גומי,,2 זוגות,
942,מקרר,,1,
942,פומפה,,1,
942,ארון מפתחות,,1,
942,מקלות קצרים,,15,
942,דליים,,12,
942,ממירים לטלויזיה,,30,
942,אריחי תקרה,,13,
942,בונדרול,,34,
942,סטפול,,1,
942,נירוסטשיין,,1,
942,טרגיפורנו,,1,
942,סופר סקראב,,1,
942,מעטפות מנילה,,200+,
942,תמי 4,,1,
942,גליל צינור כיבוי אש,,1,
942,פחים ירוקים,,2,
942,נורות להט 60 וואט,,10,
942,לוחיות זכוכית צרות קצרות,,16,
942,לוחיות זכוכית צרות ארוכות,,11,
942,לוחיות זכוכית רחבות קצרות,,7,
942,לוחיות זכוכית רחבות ארוכות,,5,
942,מלכודות עכברים,,2,
942,משולשי תמיכה,,80,
942,צבע אקרילי חיצוני (18 ליטר),,2,
942,שילוט מתכת ('מקלט'),,30,
942,פסי חיכוך להדבקה,,33,
942,טרפנטין (5 ליטר),,13,
942,פוליסטיק סופר 99,,2,
942,ראש מקלחת עם צינור 2 מ',,1,
942,"צבע לבן (4.5 ליטר,משומש)",,1,
942,צבע שחור 424-202,,5,
942,צבע כחול 424-049,,1,
942,צבע ירוק 424-086,,4,
942,צבע אפור 424-035,,2,
942,צבע לבן 360-101,,1,
942,צבע ירוק 654-186,,2,
942,צבע אדום 424-096,,1,
942,צבע אפור 654-32,,1,
942,צבע כחול עמוק 424-047,,2,
942,סופרקריל מט לבן (18 ליטר),,1,
942,מכלול ווי תלייה לבגדים (עץ),,80,
942,מכלול ווי תלייה לבגדים (פלסטיק),,40,
942,מגשים קטנים לרולרים,,10,
942,ידית לרולר,,1,
942,ראשי רולר,,5,
942,מעצורי דלת (פלסיק),,9,
942,לוחיות מתכת עם מספרים,,20,
942,מפזרי חום,,5,
942,שבלונות למפתחות צילינדר,,700,
942,צירים לארונות,,300,
942,צילינדרים,,47,
942,משחזת,,1,
942,כסא משרד,,1,
942,כסא פלסטיק לבן,,1,
942,כסא אפור מרופד,,1,
942,כסא פלסטיק כתום גבוה,,1,
942,מגש רגיל לרולר,,2,
942,לוחות שהם/בד לנעצים,,18,
942,ווי תליה לבגדים (מתכת),,36,
942,וילונות אמבטיה,,11,
942,מכלולי ידיות אמריקאיות,,29,
942,חלקים ממכלולי ידיות אמריקאיות,,300,
942,מפזר חום לאמבטיה,,40,
942,פטיש 3 קילו,,3,
942,פטיש חמש קילו,,2,
942,קלסימו (שק 5 קילו),,1,
942,מכלולי פלורוסנט עם נורות,,2,
944,מדפי אחסון פלסטיק (4 קומות),,3,
944,אלונקה,,2,
944,סולם 3 מטר עץ,,1,
944,מושבים כחולים,,5,
944,ממירים לטלויזיה,,3,
944,מקרר,,1,
944,אריחים,,40,
945,כסאות מתכת,,3,
945,שוחנות צד נמוכים מתכת,,5,
945,שולחן צד מכת גבוה,,2,
945,מזרנים,,2,
945,כסא כחול מרופד,,2,
945,כסא פלסטיק כחול,,1,
945,לוחות שהם/בד לנעצים,,2,
945,ערכת עזרה ראשונה,,1,
945,מראה,,1,
946,ערכת עזרה ראשונה,,1,
946,כסא כחול מרופד,,3,
946,אלונקה,,1,
946,כסאות מתכת,,9,
946,מטאטא,,1,
946,מגב,,1,
946,יעה,,2,
950,ערכת עזרה ראשונה,,1,
950,כורסא אדומה,,1,
950,שולחן צד מכת גבוה,,1,
950,אלונקה,,1,
950,שולחן,,2,
950,מקרר,,1,
950,קומקום,,1,
950,מכין אורז,,1,
950,סליל כבל ברזל,,1,
950,סליל חוט ברזל,,1,
950,תמונות/פוסטרים,,4,
950,מזרן,,1,
950,לוחות עץ דקים וארוכים,,40,
950,רדיאטור (7 צלעות),,1,
950,ממירים לטלויזיה,,10,
950,ארון לבן מפורק,,1,
950,הליכון,,1,
950,משקולות,,2,
950,שק שינה צבאי,,1,
950,ארגז עם קלסרי סיכומים,,1,
951,ארגזי צד לבנים,,19,
