warehouse,item,description,quantity,catalog_id
Paris,qRfKs,iSGEh,644,646893
Mérida,zHVBG,nOomSDRm,324,329631
Berlin,aZK,nK  X,256,461545
Pekanbaru,HF,ziCHompGfPYQ,914,313924
Montreal,vZ,mNEcEspUkjlSTsoRh,144,171258
Port Vila,SjuZ,VwdmPfrjlhAJ,267,432889
Labasa,"W ",ELvXBZMHrKezikH,453,916010
Kano,AEgM,hVOwgzaNxHkxdAYwcGhx,227,432019
Milan,SexXj,wYvwcq muMuoOpRmqsNW,279,205839
Bridgetown,bljPN,qyXQmtODTiEtWtYejOu,659,721417
Nagoya,WOI,ooTVbPdHami,144,362013
Hamburg,NRUjF,"NPoUEfmfkcZ ",951,231101
Belgrade,tSyhM,PzGxvb,177,429318
São Paulo,PPMn,Ra,142,23136
Rabi Island,NyrRp,dEDIDLtHPp jLzgjUC,746,69957
Tucson,cQ,ljmXbAquICKrY jUJ WL,896,203703
Lanzhou,LNzDf,ImyQk,688,743545
San Francisco,DZZNT,zBBZPW yw,972,540410
Jayapura,nQMm,SJSkUC,700,66637
Mecca,In,qDZZJre,998,145163
Espoo,vqQiD,ZLczlphw,610,359625
Ibadan,bOC,sjzS,202,903462
Oslo,yOreL,PHEJSoVmbAgbLrK,254,154691
Leeds,MLQu,hMkYF KWcRDlcY,259,427899
Jakarta,UFeoD,lmlBvM,826,208485
Cardiff,"Td ",WQ,890,944524
Udon Thani,yRAAZ,XjAadX,398,190918
Puerto Williams,lAG,oqOUjPbM,751,987644
Regina,XKVtg,dh,694,877921
Fredericton,lDiAo,uxpDBs,740,600024
Belize City,rI,ZjFYqCSJAHLL,922,496807
Ushuaia,JwCal,xOngTHvgExdIgu,492,853912
Wichita,Qdr,ttoAyAOFZGtdk,497,345710
Port Vila,zjU,YmmPiGLjNLpBdDICR,847,499336
Ciudad del Este,pixJ,gBEIgXaa,295,66381
Munich,joAP,nKHqDIBdxBT,615,95700
New Delhi,IF,jYgN,654,253315
Vaduz,TigY,qQgBuEfvDvoRPE ry,553,174530
Maputo,op,cfWf,288,390560
City of Halifax,hp,Aipg,901,555129
Bissau,FFZqB,vewYFVvSIwHeqDl,502,856201
Rio de Janeiro,od,PjnxB,865,287225
Rochester,nV,dPCzbjz sJLGvWlEto,198,120637
Odessa,NQ,Rx,701,695943
Abidjan,KjR,"fgbFwHOJghKHyola ",590,217271
Belfast,Rru,kTBXaTndlXBc,908,379780
San Fernando,wJEo,BCUUYRUjtISwjTX,590,674954
Zürich,VaFp,TlvLZuIMrqD,577,319596
Kathmandu,"OaQ ",uHZ,822,594549
Kabul,IL,tlcHyPUS,570,432199
Brasília,mv,vDkSsV,284,171163
Mogadishu,Mmtz," OU JVwsoQDlKWNSNnn",770,307923
Changchun,fdc,TKwAFK,20,246264
Honolulu," eHx",PuqyxZS,882,200640
St. John's,PRPF,ytkWMzKaHyd,891,541961
Kingston,UUYK,aWImwVRf,80,920889
Birkirkara,cPc,BzDRrfd,696,631207
Kawasaki,zBFP,OAzwTKrPHt,853,970658
Perm,WycEX,FtDfx,71,706359
Beijing,vb,uQxgwEiPBwnB,843,493325
Harare,rq,SfRUVdMlmw,96,618402
Kiev,jAbwa,ofFY,157,128156
Tampere,hz,FnnZKJETqwOEsTUC,153,520941
Louisville,Hu,uKLakkSefI l,854,753058
Dresden,oFf,QNtQKLZuSv,783,684917
Chişinău,WdH,RXS,729,147652
Vilnius,zWKQ,kPLKiQFlT IwAtE,476,69304
